station,province,rows,cgn_id,cgn_name,cgn_concise,cgn_lat,cgn_lon,hr_lat,hr_lon,csd_id,wikidata_qid,coord_source
Fort William,ONTARIO,182,FOBSM,Fort William,MUN2,48.3543357,-89.2626760,,,ON147036,Q1438830,cgn_direct
Gravelbourg,SASKATCHEWAN,181,HAAQH,Gravelbourg,TOWN,49.8729000,-106.5535944,49.8833,-106.55,SK173026,Q994920,cgn_direct
Cabri,SASKATCHEWAN,180,HAUHQ,Cabri,TOWN,50.6218778,-108.4633056,0.0,0.0,SK178026,Q855643,cgn_direct
Barons,ALBERTA,176,IADAB,Barons,VILG,49.9966667,-113.0830556,,,AB192023,Q2111715,cgn_direct
Indian Head,SASKATCHEWAN,174,HAVWV,Indian Head,TOWN,50.5337447,-103.6675453,50.5333,-103.6667,SK176006,Q6020414,cgn_direct
Port Arthur,ONTARIO,168,,Port Arthur (now Thunder Bay),,48.4259,-89.2126,,,ON147037,Q7230482,manual_historical
Prelate,SASKATCHEWAN,165,HAHRS,Prelate,VILG,50.8524169,-109.4039167,,,SK178042,Q2202282,cgn_direct
Vulcan,ALBERTA,148,IAOPA,Vulcan,TOWN,50.4041666,-113.2605556,,,AB192022,Q1746129,cgn_direct
Herbert,SASKATCHEWAN,147,HAFAE,Herbert,TOWN,50.4264750,-107.2249944,,,SK177027,Q1911442,cgn_direct
Milestone,SASKATCHEWAN,147,HALNW,Milestone,TOWN,49.9932583,-104.5177039,,,SK172022,Q1915440,cgn_direct
Gull Lake,SASKATCHEWAN,146,HAEHT,Gull Lake,TOWN,50.0969139,-108.4847525,,,SK178003,Q5617738,cgn_direct
Claresholm,ALBERTA,146,IAMMS,Claresholm,TOWN,50.0197222,-113.5827778,,,AB190021,Q1746566,cgn_direct
Shaunavon,SASKATCHEWAN,146,HAOOS,Shaunavon,TOWN,49.6503486,-108.4159917,,,SK174027,Q1916970,cgn_direct
Webb,SASKATCHEWAN,142,HAPLT,Webb,VILG,50.1825860,-108.2023570,,,SK178002,Q7978670,cgn_direct
Yorkton,SASKATCHEWAN,142,HAVWM,Yorkton,CITY,51.2137750,-102.4628806,51.2167,-102.4667,SK179020,Q1639696,cgn_direct
Carmangay,ALBERTA,141,IALKP,Carmangay,VILG,50.1294444,-113.1113888,0.0,0.0,AB192017,Q2265009,cgn_direct
Nanton,ALBERTA,140,IAMSK,Nanton,TOWN,50.3469444,-113.7733333,,,AB192019,Q1744143,cgn_direct
Hanley,SASKATCHEWAN,140,HAPNY,Hanley,TOWN,51.6270917,-106.4410056,,,SK181023,Q1911299,cgn_direct
Grenfell,SASKATCHEWAN,139,HADPJ,Grenfell,TOWN,50.4106694,-102.9322194,50.4167,-102.9333,SK175023,Q1911166,cgn_direct
High River,ALBERTA,138,IAJVO,High River,TOWN,50.5797223,-113.8741667,,,AB192018,Q1743705,cgn_direct
Mundare,ALBERTA,138,IAMFL,Mundare,TOWN,53.5938889,-112.3416667,,,AB198033,Q2376218,cgn_direct
Rouleau,SASKATCHEWAN,137,HAJIC,Rouleau,TOWN,50.1903444,-104.9074056,,,SK176028,Q1916905,cgn_direct
Calgary,ALBERTA,137,IAKID,Calgary,CITY,51.0458333,-114.0574999,0.0,0.0,AB194026,Q36312,cgn_direct
Aneroid,SASKATCHEWAN,136,HAAPM,Aneroid,HAM,49.7164140,-107.3001020,,,SK173027,Q2412074,cgn_direct
Foam Lake,SASKATCHEWAN,135,HACBK,Foam Lake,TOWN,51.6410806,-103.5395500,51.65,-103.5333,SK180009,Q5463805,cgn_direct
Wilcox,SASKATCHEWAN,135,HATYG,Wilcox,VILG,50.0970270,-104.7250590,,,SK176068,Q2205332,cgn_direct
Granum,ALBERTA,135,IAHNI,Granum,UNP,49.8711111,-113.5083333,,,AB190024,Q1930444,cgn_direct
Morse,SASKATCHEWAN,133,HALVM,Morse,TOWN,50.4150440,-107.0387390,,,SK177011,Q14874998,cgn_direct
Swift Current,SASKATCHEWAN,133,HAPKT,Swift Current,CITY,50.2881611,-107.7938944,,,SK178001,Q7656040,cgn_direct
Lang,SASKATCHEWAN,132,HAFJK,Lang,VILG,49.9195861,-104.3723472,,,SK172040,Q2085279,cgn_direct
Provost,ALBERTA,132,IADQF,Provost,TOWN,52.3533333,-110.2647222,,,AB195039,Q1744077,cgn_direct
Wetaskiwin,ALBERTA,132,IAPBB,Wetaskiwin,CITY,52.9691667,-113.3769444,52.9667,-113.3667,AB196023,Q950050,cgn_direct
Winnipeg,MANITOBA,130,GBEIN,Winnipeg,CITY,49.8844440,-97.1463890,0.0,0.0,MB160013,Q2135,cgn_direct
Weyburn,SASKATCHEWAN,130,HAUMZ,Weyburn,CITY,49.6609833,-103.8526306,49.6667,-103.85,SK172012,Q7990301,cgn_direct
Cupar,SASKATCHEWAN,129,HAFDB,Cupar,TOWN,50.9466583,-104.2109556,,,SK176017,Q5194432,cgn_direct
Canora,SASKATCHEWAN,129,HABQM,Canora,TOWN,51.6363750,-102.4310056,51.6333,-102.4333,SK179018,Q1099134,cgn_direct
Champion,ALBERTA,127,IALPJ,Champion,VILG,50.2397222,-113.1480556,,,AB192026,Q5069954,cgn_direct
Aberdeen,SASKATCHEWAN,127,HABKQ,Aberdeen,TOWN,52.3255360,-106.2915110,52.3167,-106.2833,SK185005,Q4666955,cgn_direct
Simpson,SASKATCHEWAN,126,HATPK,Simpson,VILG,51.4525983,-105.4450278,,,SK181050,Q2204544,cgn_direct
Borden,SASKATCHEWAN,126,HATVF,Borden,VILG,52.4057550,-107.2411140,46.2542,-63.6958,SK186029,Q1817854,cgn_direct
Davidson,SASKATCHEWAN,126,HATPN,Davidson,TOWN,51.2591611,-105.9859314,,,SK181021,Q1427885,cgn_direct
Carstairs,ALBERTA,125,IALCI,Carstairs,TOWN,51.5655555,-114.0994444,,,AB194035,Q1886298,cgn_direct
Luseland,SASKATCHEWAN,122,HAHEE,Luseland,TOWN,52.0796306,-109.3898861,,,SK183045,Q1915299,cgn_direct
Killam,ALBERTA,122,IABDM,Killam,TOWN,52.7897223,-111.8552778,,,AB195036,Q1004121,cgn_direct
Dauphin,MANITOBA,121,GAGDE,Dauphin,CITY,51.1494440,-100.0494400,0.0,0.0,MB167001,Q1658912,cgn_direct
Blackie,ALBERTA,121,IAGXN,Blackie,UNP,50.6044444,-113.6227778,,,AB192024,Q4923022,cgn_direct
Limerick,SASKATCHEWAN,121,HAGGC,Limerick,VILG,49.6530167,-106.2654028,,,SK173035,Q2085399,cgn_direct
Abernethy,SASKATCHEWAN,120,HABKP,Abernethy,VILG,50.7445278,-103.4181631,,,SK176011,Q4667154,cgn_direct
Fillmore,SASKATCHEWAN,120,HAPOO,Fillmore,VILG,49.8794667,-103.4338836,,,SK172033,Q2003279,cgn_direct
Lemberg,SASKATCHEWAN,119,HAGEC,Lemberg,TOWN,50.7315694,-103.2033417,,,SK175024,Q1909185,cgn_direct
Kinistino,SASKATCHEWAN,119,HAERP,Kinistino,TOWN,52.9508056,-105.0299694,,,SK185043,Q1914869,cgn_direct
Vegreville,ALBERTA,119,IAOBT,Vegreville,TOWN,53.4955555,-112.0516667,53.5,-112.05,AB198021,Q1276220,cgn_direct
Ponteix,SASKATCHEWAN,119,HAARB,Ponteix,TOWN,49.7447333,-107.4872389,,,SK173042,Q1916471,cgn_direct
Dinsmore,SASKATCHEWAN,119,HAGAE,Dinsmore,VILG,51.3309000,-107.4453389,,,SK182031,Q1999969,cgn_direct
Sceptre,SASKATCHEWAN,118,HAHXT,Sceptre,VILG,50.8649944,-109.2698056,,,SK178044,Q2204241,cgn_direct
Woodrow,SASKATCHEWAN,118,HATYJ,Woodrow,HAM,49.6939780,-106.7232420,0.0,0.0,SK173049,Q8033163,cgn_direct
Star City,SASKATCHEWAN,117,HAJUA,Star City,TOWN,52.8618111,-104.3317222,,,SK184020,Q7600671,cgn_direct
Rhein,SASKATCHEWAN,117,HAIOG,Rhein,VILG,51.3528778,-102.1915889,,,SK179031,Q2147542,cgn_direct
Glenside,SASKATCHEWAN,116,HADJL,Glenside,VILG,51.4534350,-106.8052450,,,SK182015,Q5569344,cgn_direct
Loreburn,SASKATCHEWAN,116,HAHBV,Loreburn,VILG,51.2308194,-106.5995889,,,SK181005,Q6680280,cgn_direct
Sintaluta,SASKATCHEWAN,116,HAIUT,Sintaluta,TOWN,50.4769000,-103.4496750,,,SK176029,Q1916992,cgn_direct
Tompkins,SASKATCHEWAN,116,HAPLE,Tompkins,VILG,50.0624556,-108.7921750,,,SK178047,Q2204989,cgn_direct
Blaine Lake,SASKATCHEWAN,116,HAECA,Blaine Lake,TOWN,52.8283000,-106.8814306,0.0,0.0,SK186003,Q4923957,cgn_direct
Delia,ALBERTA,116,IAQBG,Delia,VILG,51.6305556,-112.3738889,,,AB193030,Q5253857,cgn_direct
Holland,MANITOBA,115,GAKZU,Holland,UNP,49.5975000,-98.8794440,,,ON114008,Q115261768,cgn_direct
Hayter,ALBERTA,115,IAIRT,Hayter,UNP,52.3563889,-110.1077778,,,,,cgn_direct
Lougheed,ALBERTA,115,IAFIA,Lougheed,VILG,52.7444444,-111.5427778,,,AB195037,Q6686189,cgn_direct
Kamsack,MANITOBA,115,HADDY,Kamsack,TOWN,51.5611889,-101.8964417,51.5667,-101.9,SK179019,Q990470,cgn_direct
Vanguard,SASKATCHEWAN,115,HAARJ,Vanguard,VILG,49.9094861,-107.3017194,49.9167,-107.3,SK173045,Q2205136,cgn_direct
Hazenmore,SASKATCHEWAN,115,HAPHJ,Hazenmore,VILG,49.6872861,-107.1391472,,,SK173032,Q2003798,cgn_direct
Magrath,ALBERTA,114,IAGRW,Magrath,TOWN,49.4077778,-112.8666667,,,AB190026,Q608478,cgn_direct
Delisle,SASKATCHEWAN,114,HAFXP,Delisle,TOWN,51.9216889,-107.1350019,51.9167,-107.1333,SK182023,Q1427949,cgn_direct
Duval,SASKATCHEWAN,113,HAPFS,Duval,VILG,51.1572361,-104.9904889,,,SK181037,Q2002689,cgn_direct
Southey,SASKATCHEWAN,113,HAIZZ,Southey,TOWN,50.9428722,-104.4996056,,,SK176066,Q1917001,cgn_direct
Wolseley,SASKATCHEWAN,113,HANMT,Wolseley,TOWN,50.4221750,-103.2721167,50.4167,-103.2667,SK175010,Q8030419,cgn_direct
Vancouver,BRITISH COLUMBIA,113,JBRIK,Vancouver,CITY,49.2611110,-123.1138890,0.0,0.0,BC206005,Q24639,cgn_direct
Rosthern,SASKATCHEWAN,113,HAJHV,Rosthern,TOWN,52.6626306,-106.3338164,,,SK185011,Q7370006,cgn_direct
Kincaid,SASKATCHEWAN,113,HAPIH,Kincaid,VILG,49.6697722,-107.0064083,,,SK173033,Q2004260,cgn_direct
Imperial,SASKATCHEWAN,112,HAATO,Imperial,TOWN,51.3479056,-105.4408167,,,SK181044,Q370771,cgn_direct
Sovereign,SASKATCHEWAN,112,HAJAT,Sovereign,UNP,51.5115980,-107.7212020,,,SK182041,Q7571573,cgn_direct
Tessier,SASKATCHEWAN,112,HANBF,Tessier,VILG,51.8070667,-107.4273778,,,SK182045,Q2204928,cgn_direct
Assiniboia,SASKATCHEWAN,112,HAOOY,Assiniboia,TOWN,49.6291139,-105.9886333,49.6333,-105.9833,SK173025,Q704679,cgn_direct
Girvin,SASKATCHEWAN,111,HATPO,Girvin,HAM,51.1500314,-105.9172589,,,SK181040,Q2219793,cgn_direct
